text_display,video_source
"Dari dulu masukin timnas senior masukin raven masukin raven ini anak ambisius untuk jadi straiker predator ,",Youtube
Alhamdulillah masih ada Persib yg maennya lebih enak dtonton,Youtube
"Walaupun main pas2an 
 Dan out
 Yg penting ngerasain juga 
 makan rumput stadion yah pri😂😂😂😂",Youtube
Inilah timnas yg sebenarnya 👌,Youtube
Skornya sama dengan tanggal ultah ku Desember 13,Youtube
"Kok berasa permainannya kayaq main dikampung, hampir semua yg dpat bola mau Suting semua😂😂",Youtube
"Squad tim yg mengerikan jika di lihat,tapi menjadi lemah dengan strategi indra xavi",Youtube
Aduh Semi final aja udah gak bisa,Youtube
INI LAH GAMBARAN DARI LOKAL PRET😂,Youtube
Era mafia kembali 🤭,Youtube
"Andaikan sty yang ngelatih tapi hasil nya seperti ini. 
 Pasti yang ngehujat tuju hari tuju malam",Youtube
sisapri kemarin Jen raven di cadangin malah maenin Arjuna pemain tarkam,Youtube
Layak tidak lolos karena tujuannya bukan mau lolos hanya main bola saja..,Youtube
Yang masang iklan IQ nya 65,Youtube
"Kembali ke mode awal. Goal nya kalau ga bola mati , bola liar. Ketemu tim yg mainnya taktis dan rapi, abis kita 😂😂😂",Youtube
mantap,Youtube
Kadek2 kepala atau apa tu😂,Youtube
Minim stategi.. harus nya jens reven starter malah di cadangin. Liat pas masuk jens riven 2 goal di sumbangin,Youtube
"Nonton bola
 Nonton iklan😅",Youtube
Dari pemilihan pemain berpengaruh pada mental dan karakter pemain,Youtube
"Asli ntn persib terasa lebih greget, semoga timnas makin bagus silahkan bung towel pilih pelatih yang bagus hehhehe",Youtube
Timnas yang di inginkan bung towell,Youtube
"Pelatihnya itu"""" saja
 Kalau tidak indra safri / nova / bima sakti",Youtube
Kembali ke setelan awal,Youtube
aduh main kaya gini....bisa babak belur kalau lawan thailand atau vietnam,Youtube
Sebuah kemunduran 😂,Youtube
Bener bener lucu sih😂,Youtube
"""Kita liat sejauh apa timnas tanpa ayah saya"" karma is real",Youtube
"Alhamdulillah indonesia menang ..semoga bisa juara bravo indra safri pelatih ini lebih bagus daripada sty atau petrik ,maju terus coach😊❤❤🎉🎉",Youtube
Kembali ke setelah pabrik,Youtube
"INDONESIA: kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah 
 NEGARA LAIN: menang menang menang menang menang menang menang menang menang menang",Youtube
"Kenapa Jens Raven ngga dimainkan sebagai starter dari awal waktu lawan Philipina, Coach ?",Youtube
Hanya bs ngandalin lempar ke dalam dan corner kick 😅,Youtube
Tenang strategi si Sapri masih di simpen buat sea games selanjut nya. Karna sea games tahun ini hanya untuk uji coba😅,Youtube
Didelok angel,Youtube
😂pengen ketawa takut dosa,Youtube
Wellcome back era kegelapan 🤣🤣🤣🤣,Youtube
Masih harapin gol dari lempar lembing adu 😂,Youtube
Ada yang nyender nih,Youtube
"Liga udh libur
 Tc smpe 1 bulan
 Pke pemain abroad
 Cm ditarget perak
 
 Hasilnya
 Kalah 1-0 dr filipina.
 Gagal lolos grub 
 
 Yg katanya generasi emas dan punya tim kepelatihan terbaik.",Youtube
Musuh terberat bukan orang luar negeri tapi orang dalam negeri,Youtube
"Tohir & Arya Bangga Melihat ini , karena misi mereka sukses😂",Youtube
Entah kenapa mauro ini penempatan posisi nya kurang dibanding raven. Jadi mudah di marking lawan,Youtube
Mantap Myanmar,Youtube
Mvp hoky caraka,Youtube
"Mending nnton futsal, kelas main nya, ga buat kita emosi, timnas futsal indo juga salah satu yang di takuti di asia",Youtube
iklannya kurang gede,Youtube
Kembali setelan pabrik 😂,Youtube
Towel bahagia,Youtube
Harusnya raven di msinkan dari awal pertandungan sampai akhir,Youtube
Mainya enakan dilihat pas zaman STY,Youtube
Harusnya komposisi pas lawan pilipina juga gini,Youtube
"Toel mana toel mana pengamat"" uda pada mati apa kalean",Youtube
Info open fight dng pengurus pssi.,Youtube
"Federasinya pak Erick mau dibawa kemana??? Ini bukan Timnas Indonesia, Ini Federasinya pak Erick.",Youtube
Indonesia setara Filipina dong😂😂,Youtube
ALHAMDULILLAH SKRNG INDONESIA LEBIH BAIK KE STELAN KEGELAPAN,Youtube
Saking hebat ni pelatih.. Pemain haus gol di cadang kn.. Tpi aneh nx s hoki..,Youtube
Mulai dari penanganan bencana sampai sepakbola tidak ada yang beres negara ini,Youtube
Anjay udah berapa dekade gak liat selebrasi paling ikonik dari pelatih kita Baginda raja yang mulia coach indra safrie .mss msc pelatih terbaik SE Asia tenggara dan pelatih SE umur hidup bagi indonesia terima kasih pak Erik ..........hancur ini timnas saya,Youtube
Memilukan sudah menang tetap gagal lolos karena myanmar🇲🇲🇲🇲 cetak 1 goal,Youtube
Keren ❤❤❤,Youtube
Lokal pri hehhe,Youtube
Lagi lagi kesalahan beck yang gak cepat ambil bola dan striker awal yg mandul,Youtube
"Sekarang fokus dukung Persib di ACL 2, semoga Erik Tohir tidak ikut campur 😢",Youtube
"Dulu di era sty enak di tonton. Dari di ganti pelatih di tengah jalan, sumpah udah gak nonton lagi timnas.. Mafia banyak banget",Youtube
mengapa Revan tdk dari awal mainnya,Youtube
"Squad ini sebenernya bagus sih lini depannya, , sayang nya mainya gak bisa rapi,, kayak u 17",Youtube
Towel ndi toweeeel...,Youtube
permainan asli indonesia sayangnya baru muncul di menit 90an keatas,Youtube
Sejak STY diganti Klupertt udah males liat Timnas,Youtube
"Kalah di hujat, menang gk bersyukur. Jen, jen.😁😂",Youtube
"Menang tidak selalu menyenangkan wkwkwk
 Karena tetap aja ga lolos",Youtube
Semoga PSSI mempertahankan Coach Indra Safrie jadi pelatih Timnas Sea Games 2027 😊,Youtube
"Maaf Mau nanya, Klw tadi Kiper Blok pakai Tangan kiri kira2 bgus Gak",Youtube
Towel is bedes 😂😂😂😂😂,Youtube
"3:06 presiden Sapri kita sebut saja nama ny ""El sujud""",Youtube
Pecat indra Sjafri 😂😂,Youtube
"Ke
 bali ketstelan pabrik ygesya",Youtube
Harus semua org akui Jens Revan tu mengingatkan kita dgn C. Gonzales finisingnya bagus lho dari dulu konsisten cetak goal bahkan cuma dia pemain dpn Timnas skrg yg selalu cetak goal seharus pantas naik ke senior. Koqmalah hoki dgn zilsta yg kesenior aneh ni titipan,Youtube
Hrsnya raven main dr awal bbk ke 2,Youtube
Pelatih sipaling sujud,Youtube
"Strategi terbaik menghindari Thailand, Vietnam dan Filipina di semifinal adalah dengan cara tidak lolos ke semifinal
 Keren sih",Youtube
Sesuai expextasi,Youtube
Om syafri kayaknya sdh terlalu enak.,Youtube
Kenapa ga kurniawan kasih kesempatan jadi pelatih u23,Youtube
Kembali ke setelan pabrik,Youtube
Kembali ke stelan pabrik,Youtube
Kembali ke setelan pabrik,Youtube
Murni kesalahan coach nih dlm pemilihan pemain untuk sea games.,Youtube
Kenapa ngga dr awal jens raven sama mauro ya,Youtube
Target pak tohir 😂🤣🤣,Youtube
"Ganti semua kepelatihan di PSSI, faktor pelatih yg Utama",Youtube
bahkan formasi nya pun gak bisa diketahui formasi apa yg dipakai,Youtube
"Sebernya kualitas pemain lokal Indonesia sama Tarkam itu ga beda jauh kalau untuk skil, cuman beda kasta doang wkwkwk",Youtube
Ulah erik😊,Youtube
Kembali kesetelan pabrik.,Youtube
"IS kurang bisa menilai kemampuan pemain,kenapa lawan Philipina raven gak dimainkan.hokinya bagus siraven ini.",Youtube
Lebih seru nonton liga 1 & tarkam 😂😂,Youtube
"Erick Thohir, Toel, Justin, ga ada kabar masih hidup ga sih????",Youtube
Info loker dong di PSSI🙇👺,Youtube
GENERASI ERA TIMNAS AANNJINNNGGG...,Youtube
FEDERASI DAN PEMERINTAH ISINYA MAFIA YA GINI JADINYA...,Youtube
"meninggalkan victor dethan, dan arkhan fikri adalah kesalahan fatal, ivar g dpt tandem yang pas",Youtube
komentator sebut2 Malaysia 😁,Youtube
Untung kipernya namanya soe klu namanya lucky myanmar bisa menang,Youtube
"Aku GK mo tau... Pokoknya pertahankan ET,dan indra syapri... Mereka telah mencatatkan sejarah 🎉🎉🎉",Youtube
berat berat kalo timnas kek gini cari pelatihya harus lbh baik,Youtube
"fans fomo, menang pun di anggap kalah",Youtube
Ini koci ga nyaranin pake pelatih belanda lagi?,Youtube
TERJUN BEBASSSSS,Youtube
Ganti pelatih sama Jurgen Klopp dan tambah lagi 23 naturalisasi grade A untuk posisi belakang Tengah depan,Youtube
Kenapa reven dipasang diakhir laga,Youtube
Timnas U-23 tetap terbaik bagi kami..👍,Youtube
Yg di inginkan mafia bola,Youtube
Kebanyakan iklan,Youtube
SDH ku zduga😂,Youtube
Balik lagi ke setingan pabrik,Youtube
Lagian raven ferari dari awal aja,Youtube
Kita kalah terhormat,Youtube
"Gara2 keghoblhokan, kesombongan, dan keegoisan Erick Thohir, Arya Sinulingga, Towel, dan Justinus Lhaksana memecat STY jadinya timnas Indonesia mendapatkan banyak karma buruk di sepanjang tahun 2025 padahal tahun lalu 2024 itu adalah puncak prestasi kita, malah dihancurkan begitu saja. 💔😢😭",Youtube
"Sudah dibilang beknya kadek arel itu bosok, striker Mauro itu bosok, Strurige juga klemak kelemer tidak ada peningkatan",Youtube
Btw ini main tanpa skema ya?,Youtube
"Selamat datang kembali di masa kegelapan timnas indonesia.......
 
 Bung towel dkk yg saat sty msh ada selalu datang mengkritik menghujat walau sudah menang tp sekarang kemana tuh orang?
 
 Hebat mafia² sepakbola indonesia ini,target mereka timnas(sepakbola) indonesia tidak boleh maju.
 
 Jika ada kemungkinan makin bagus harus segera diturunkan lg level nya.
 
 Gw dah lihat pola nya dr final aff 2010,generasi evan dimas lalu terakhir sty yg susah payah membangun malah dipecat saat peluang masuk pildun sangat terbuka.
 
 Begitulah...timnas merosot turun maka mafia akan bergembira",Youtube
Alhamdulillah ga lolos,Youtube
Bosen kalo pas liat berita. Timnas akan lolos jika..bls...bla...bls. tergantung pertandingan lain...bls...blabla.....,Youtube
Lebih seru liga 1😁😁.. wel towel dan kawan² lu.. nie tim impianmu.. sty mah lewat.. 😂😂,Youtube
IKLANNYA KURANG GEDE BANGG,Youtube
"Penurunan yg sangat2 drastis👏 terimakasih Sapri,terimakasih Arya sang Penyepong dan sang aktor utama ERICK THOHIR,semoga keluargamu bangga Rik🤣🤣🤣",Youtube
Era dark system😂😂😂,Youtube
STY walaupun belum bisa angkat piala tapi setidaknya bisa masuk kualifikasi AFC dan bersaing di kualifukasi Pildun...kita coba liat kedepannya...😁😁😁 apakah bisa masuk kualifikasi AFC,Youtube
Ya sutra lah...anak2 juga sdh main habis2an. Tim2 besar juga byk yg tdk lolos di fase2 awal ...,Youtube
Kangen STY,Youtube
namanya juga indra syaraf 😂😂,Youtube
Permainan ivar jenner sangat buruk saat di latih indra safri jadi egois gg bisa melihat ruang kosong dan salah ambil keputusan sangat berbeda ketika dy di latih STY,Youtube
Ini bukan sepak bola tapi lempar bola.,Youtube
"Dari bangun jatuh,semoga hasilnya nanti baik juga,Ayo federasi,suporter dukung terus perkembangan bola kita.",Youtube
Ga apa apa broooo taxkan SM Is😂😂,Youtube
Indra safri telat memasukan raven & ferarri,Youtube
"Serius tanya, 
 Kenapa Ravens terlambat masuk 🥺
 yang lebih dulu masuk Malah Hokky Caraka.. 😅😅😅",Youtube
"Keren sih, selamat atas tidak lolosnya timnas kita 🥳",Youtube
apa lagi alasan erik supaya ngak mundur dari pssi😂,Youtube
Kasian ivar jener😢,Youtube
Pa Erick. Dua instasi pemerintah tidak boleh dipegang satu orang. Sudah mentri Pegang ketua umum PSSI lagi.,Youtube
Bek begitu masih dipake,Youtube
Timnas telah kembali ke setelan pabrik,Youtube
"Respect 
 Sang maha raha maestro lord indra kafir menunjukkan kelasnya",Youtube
"gimana coach? gimana eric tohir? gimana pssi? gimana smuanya? masih mo pada jadikan setiap laga jadi ajang uji coba mulu? entar kalo udah kayak brasil maennya baru gitu, lha ini baru juga anak"" indonesia nongol di berbagai ajang laga besar, eh.. udah ""dibantai"" sendiri sama ""para bandot"" tuh. kesian mreka bos. kesian anak"" indonesia (pemain kita) pada sungguh"" bela negara, kalo lu pade nyang harusnya jadi panutan mreka malah masih mental ""ancur"" gitu.",Youtube
"sisafri hanya bisa Maska air biar matang,beda dng bolaaaa",Youtube
"Bertebaran pemain bule, hanya dua kali main pulang..",Youtube
Tarjet perak bang erik masih terlalu tinggi wkwkwkw,Youtube
"menang telak tapi kalah .
 gada hubunganya megang saham inter bisa jadi ketua federasi yang baik wkwk.",Youtube
Sekelas raven dicadangkan sikumis lele.. Hmmmm 😩😩😩,Youtube
pemain lini tengah males mundur,Youtube
😂😂😂 kualat sty,Youtube
Tariam,Youtube
alasannya apa smpe² raven di cadangkan dari 2 laga? pelatihnya tidur x ya?😅😅😅,Youtube
Yah padahal dari tahun kemaren udah pengen sombong karena kita masuk pildun. Sekarang Sea Games aja kita jadi bot 😊 Erik Erikk!,Youtube
kasian ya tim nas😢😢😢😢😢😢,Youtube
"Aselii ngapain nunjuk indra Sjafri, jelas-jelas dia pelatih amatiran",Youtube
Untung targetnya perak,Youtube
"😂😂😂😂😂😂😂😂
 Preeeeeeet",Youtube
Sapri joss😂,Youtube
Ko hambar ya tahun ini Se game ga begitu viral,Youtube
Nanti kali 2035...baru juara asia.... kekekeekekek,Youtube
kembali ke setelan pabrik,Youtube
Bisa kita lihat mengapa STY ngotot memakai orng-orang pilihannya karna dia pasti tau orang yg di pilih itu orang yg paham tak-tiknya walaupun pemain itu biasa saja.,Youtube
ga lolos ya?,Youtube
"sblm sea games dimulai, ada netijen yg komen klo timnas tuh palingan hy bs juara 3 di seagames ini..
 byk netijen lain yg nyolot sm komennya, trmasuk gw..
 karena bagi kbanyakan netijen yah kitalah juaranya, sejelek2nya runner up..
 mmg sih netijen yg mmprediksi juara 3 itu salah..
 ternyata netijen itu justru sedikit mrendah..
 lolos grup pun nggak..
 *sblm laga terakhir
 netijen indo : ""untung vietnam ga main mata""..
 *setelah laga terakhir
 netijen malaysia : ""untung myanmar gak main mata""..",Youtube
"SELAMAT JALAN PSSI, SEMOGA TENANG DISANA",Youtube
