text_display,video_source
Hallo mz deddy semoga sehat selalu. Jangan lupa pada mampir ya,Youtube
❤JAYALAH NKRI❤❤SAATNYA PLAT K. KUDUS SEKITARNYA MASUK TEAMNAS BUAT GUNCANG DUNIA...,Youtube
"Logika wae yo Bg Dedi, Bicara nyata Logika,,, Hero, Rakyat 75%Masih cinta STY",Youtube
gencarnya budaya korea yg mendunia beberapa tahun terakhir telah merubah pola pikir dan kecintaan netizen² sekarg trhadap korea..hingga apapun yg berbau korea..namun tak bisa d pungkiri STY telah mmbawa timnas hingga k titik ini,Youtube
"Jangan memperkeruh suasana.
 suguhkan konten bernuansa edukasi bukan profokasi.
 jangan memanfaatkan suasana panas demi konten.
 Pemain & pelatih keluar masuk sudah biasa dlm sepakbola.
 ingat saat luis mila keluar & sty masuk gimana reaksinya?
 gak ada yg mau nerima,semua menyayangkan kepergian luis mila.
 tp TIMNAS tetaplah TIMNAS yg harus tetap terbang tinggi siapapun pemain dan pelatihnya.
 begitu pula saat ini,pro kontra keluarnya STY membelah persatuan suporter TIMNAS.
 Marilah satukan dukungan rapatkan barisan jangan terpecah belah demi kemajuan TIMNAS INDONESIA.
 demi Indonesia bisa masuk PIALA DUNIA.
 siapapun pemain & pelatihnya yg membawa lambang negara kita patut kita dukung penuh,krn mereka membawa nama bangsa dan negara Indonesia.
 BRAVO TIMNAS INDONESIA!!!",Youtube
Bener tuh STY happy... Tapi gak mudah juga si udah melekat banget,Youtube
Diatas segalanya ada yg namanya TIMNAS... Wellcome coach 🔥🔥🔥,Youtube
"Takutnya ada kaitannya pengalihan isu, buat nutupin yang kasus korup kemarin🗿",Youtube
Om ded undang aja Ketum PSSI nya langsung...yg setuju 👍,Youtube
Om undang bagus mulyadi om,Youtube
Om ded pasti viral n trending kalau undang STY untuk konfirmasi persoalan pemecatan nya... Pasti bnyak yg nonton,Youtube
"Sebenernya ini kurang seru, harus nya ada yg pro nggak cuma kontra doang, jdi ada perdebatan yg membuat tontonan ini full daging, pengetahuan baru, ilmu baru buat para penonton",Youtube
Betul dari awal STY membangun team tiba tiba😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,Youtube
"Pak ET adalah seorang pemimpin yg professional, Visioner, ambisius dan berani mengambil langkah di luar zona nyaman, makanya pak ET menjadi ET yg sekarang 💎. 
 saya pendukung apapun yg dilakukan Pak ET selama maksud dan tujuannya sudah jelas dan itu bisa di tonton dalam video pak ET di chanel lain.",Youtube
Karena setiap orang pasti akan pernah punya salah...bukan berarti orang itu jahat....thebest banget ini kata² menurut ku om ded,Youtube
"Om Deddy.. Coba Next Bahas Gimana Nasib Pemain Lokal & Regenerasi Pemain Lokal Ke Timnas Setelah STY Di Pecat
 Yah Kita Tau Sendiri Soal nya STY Bisa Dibilang Sukses Merubah Kebiasaan Dan Problem Pemain Lokal Dan Regenerasi nya Bisa Dibilang Bagus.
 Akan Kah Dengan Kepergian STY Pemain Lokal Bakalan Kembali Ke Setelah Pabrik Dan Regenerasi Pemain Lokal Ketimnas Jadi Terhambat Kayak Dulu Sebelum STY Datang",Youtube
"Milih pelatih :
 
 Berdasarkan CV yg bagus ❌
 Berdasarkan filosofi❌
 Berdasarkan kebutuhan taktik ❌
 
 Punya waktu luang untuk datang saat diundang ✅",Youtube
"""Makanya saya ga da di kabinet kan"" 😂 thats why 46:49",Youtube
"SEBAGAI ORG AWAM & EMAK"" SY SDH HAFAL DGN CLOSETHEDOOR, BIASA JUM'AT CHANNEL NI G PERNAH UPLOAD TP OM MAAAH GERCEP KLO DA YG EMERGENCY LANGSUNG UPLOAD. KEREN OM DED. SEBAGAI EMAK"" YG DEMEN BOLA SY JUGA G SETUJU KLO STY DI PECAT TP SY TTAP MENDUKUNG TIMNAS. BISMILLAHIRRAHMANIRRAHIM... SY BERDO'A IJINKANLAH TIMNAS BS BERKIBAR DI PIALA DUNIA. BUAT STY SEHAT SLLU & BAHAGIALAH DGN KELUARGA DI SANA UTK MENIKMATI MASA TUA BERSAMA KELUARGA. LOVE YOU STY & LOVE YOU TIMNAS 😘😘😘😘😘😘😘😘😘
 BANG VALEN SALAM BUAT TANTE HENY YAA...",Youtube
"*Ini bukan podcast perdebatan sih antara layak atau tidak memecat STY dan mendatangkan PK. Ini lebih dari bagaimana kecintaan masyarakat bola Indonesia dengan caranya sendiri sendiri agar sepakbola ini lebih baik*
 
 *_Aremanita_*",Youtube
Undang Patrick Om Ded,Youtube
"Sampai saat ini saya pribadi masih 100% setuju dengan pendapatnya coach justin, karena memang dari beberapa aspek Pak E.T. lebih ngerti dan lebih paham daripada kita sebagai supporter.
 
 Pasti ada pro kontra, ada yang tidak puas dan ada juga yang marah. Tapi alangkah lebih baiknya jangan sampai membenci keadaan berlebihan, kita sebagai pendukung cukup dengan memberikan dukungan yang positif.
 
 Jangan sampai kita malah memperkeruh atau bahkan memperburuk keadaan.
 
 Intinya untuk kedepannya semoga timnas Indonesia bisa semakin baik, selalu membaik dan menjadi yang terbaik 🤲🤲",Youtube
"undang STY nya langsung dong om, mau denger cerita beliau gimana suka duka jadi pelatih timnas",Youtube
"situasi STY diganti oleh Patrick Kluivert adalah bagian dari dinamika perjalanan sepak bola Indonesia. timnas sekarang sedang di posisi yg sedang menanjak, banyak yg bilang program latihan fisik yg terlalu berat dsb, justru akan positif ketika digantikan oleh staff kepelatihan yg baru dengan taktik yg lebih fresh dan menyesuaikan dengan para pemain timnas skarang. 
 
 lupakan masa lalu beliau yg kelam yg banyak dibicarakan negatif, tp itu tidak ada hubungannya dengan sepak bola. yg terpenting adalah kita sebagai bagian dari bangsa Indonesia, kita mendukung terus. lolos kualifikasi babak 3 adalah harga mati, whatever it takes! sampai jumpa di World Cup 2026!",Youtube
SHIN TAE YOUNG THE BEST FOREVER ⭐⭐⭐⭐⭐👍🏻👍🏻,Youtube
"Merunut peristiwa 'pembangkangan' ruang ganti sebelum lawan Arab Saudi dikomandoi Jay Idzes dan Thom Haye maka dapat diambil kesimpulan para pemain bermain semi-autopilot artinya hanya sebagian mengikuti instruksi pelatih dan sebagian lagi inisiatif strategi sendiri di mana Marceng atas instruksi Jay & Haye bermain lebih ke tengah depan dan bukan melebar di sayap tengah sebagaimana kemauan Sty, dan diberitakan di banyak media massa Marceng hampir dipakai lagi namun Marceng tetap memilih membangkang thd Sty dan terus mengikuti kesepakatan bersama sesama pemain dalam 'rapat pemain', bahkan gambling karena kalau tdk cetak gol bakalan dijadikan kambing hitm oleh Sty. Namun di sini para pemain yg dikomandoi Bang Jay dan Bang Toha terlihat bermain sekuat tenaga (sampai pemain seperti Verdonk keram2) untuk Pak ET dan Indonesia dan BUKAN utk Sty, dimana kembali diceritakan setelah Pak ET mengeluarkan statemen siap undur diri saat sehabis kalah lawan Jepang, kemudian setelah itu Pak ET dihampiri Bang Toha di mana Bang Toha berjanji akan mengkonsolidasi para pemain untuk bersatu hati sekuat tenaga untuk bersama Pak ET merealisasikan proyek Pildun.
 Di sini jelas terlihat leadership Pak ET dalam memotivasi semangat para pemain dari kekalahan beruntun lawan China & Jepang untuk menang lawan Arab. Ironisnya banyak org berpikir kemenangan atas Arab adalah atas jasa Pak Erik dan inisiatif para pemain untuk 'berbelok' dari instruksi Sty.",Youtube
STY dijadikan direktur teknik aja...,Youtube
"Om ded, punya pikiran liar ga sii? Ada yg korupsi 300T penjara 6,5 tahun, lagi naik beritanya, trus tiba tiba STY di pecat langsing heboh banget, trus beritany langsung focus ke timnas,",Youtube
"*Sebaiknya om ded undang pak Erick Thohir dan Coach Justin, minimal bisa ada perdebatan dari perspektif yang berbeda. Minimal mendatangkan pak Erick bisa utk validasi kebenaran berita*",Youtube
lawan arab itu kita menang bukan karena taktik sty tp karena kekompakan pemain yg marselino jadi inisiator ga nurut sama pelatih tp ahkir nya kita menang,Youtube
"Aku sangat respek dengan pak erik,,keputusan apapun demi timnas masuk pildun, kita harus mendoakan dan mendukung..karna pak erik argentina dtg ke indonesia, karna pak erik timnas semua kelompok umur masuk ke piala asia.karna pak erick pemain keturunan byk yg mau bergabung ke timnas,,,hei netizen yg kurang obyektif ingatlah itu semua..pertandingan bahrain dan china harus di menangkan tp gagal karna sesuatu di internal,,,eliano gk main ,,capek2 di naturalisasi eh pelatih gk mainkan,,,bahkan cadangan pun tidak masuk..dari situ kita bisa lihat wahai netizen,,,coach shin tidak menghargai jerih payah pssi menaturalisasi pemain keturunan...dari situ sudah keliatan pecah kongsi...tp pak erik tetap sabar,,,dan masih mendukung coach shin, dengan menambah kevin..
 
 Dan januari adalah keputusan yg berat dan hebat dan berani dan berisiko bagi pak erik, tp demi timnas masuk piala dunia ,, pak erik ambil keputusan ini...ini hanya di lakukan oleh orang yg berkelas.
 
 Semangat pak erik,,,saya yakin timnas masuk piala dunia.❤",Youtube
"UNDANG STY, Biar ada penjelasan dari dua pihak. Biar ga jadi bola panas, nanti netizen yg menilai sendiri",Youtube
pak ET yg lebih tau gw dukung 1001%. STY berjasa dan membuat sejarah semoga STY tetap saling mendukung terlepas dari permasalahan ini,Youtube
Rame bgt nie bertiga,Youtube

Kami TKI Korea ikut malu seolah olah orang Indonesia (timnas )sudah di bantu naik malah pecat sty dengan tidak hormat.sangat tidak tepat waktunya.,Youtube
"Contoh dong Negara Korea Selatan yg menghargai Atlet Indonesia, karena prestasi dan jasanya masih terus di perpanjang sampai kontraknya habis dan di hargai hingga di berani bayar Atlet Indonesia yg sangat tinggi,
 
 jauh dgn pengurus Atlet di Indonesia yg kurang menghargai Atlet Indonesia yg sudah berpretasi dan berjasa mengharumkan nama bangsa, 
 
 Oknum PSSI yg memecat STY apalagi kontraknya belum habis adalah orang yg Tidak punya Etika baik, STY sudah berjuang untuk Timnas Indonesia yg selama ini Timnas bagaikan sayuran layu,",Youtube
Naikin podcas ini ges,Youtube
"Indonesia di jajah lagi, kalau dari Belanda.!! STY sdh baik dan sempy❤❤",Youtube
Diaspora jos.....yg di tunggu diaspora paranormal indo...😂😂😂😂,Youtube
Sty we love you❤❤❤❤,Youtube
Sama sy tetap dukung sty,Youtube
"Undang pa Erik aja..biar jelas,jangan banyak cuma kira2",Youtube
"lawan bahrain draw bang valen, corect",Youtube
"thanks for the talk, Om Ded.",Youtube
hahaa edasss,Youtube
Bung ekky kurang enak d tonton nya,Youtube
Ngideee,Youtube
Sty❤❤,Youtube
Tgl 26 buat tagar terimakasih STY disemua medsos...,Youtube
"Cuma palen yg faham, kalau oki bisa main bola, kalau dedi mancing opini 😅",Youtube
"Bahas insinyur kita yg dikorea soal kf21 dong,,",Youtube
"Semakin memperkeruh keadaan, hostnya g paham bola cuma cari momentum biar tranding Wkwkw",Youtube
Bener-bener pengalihan isu 300T kacauuu korban nya sty... Duid 300T gak mungkin sedikit pejabat yang terlibat,Youtube
"😢😭
 Kapan kita majunya kalau kaya gini terusss",Youtube
"wow wow wow, kalian bertiga kok sama dg saya ya ...
 ada syarat jk ada yg pake aku tuk suatu pekerjaan.
 ""Jika suruh saya berarti harus pake cara saya.""",Youtube
"22:42 om ded coba skarang bikin poling, seru bgt nih (oetrick out vs petrik pertahankan)",Youtube
STY BERTAHAN KARENA KECINTAAN NYA KPD RAKYAT INDONESIA DR PD MASLH YG MENEKAN NYA D DALM PSSI,Youtube
Semoga mimpi indah pada akhirnya,Youtube
Om ded undang om bro ron dong ada masalah dana PIP... Tolong d up masalah ini,Youtube
"Bnyk mbgt podcas tp yg selalu muncul di branda cumn om ded ama bang d,,😊",Youtube
Rakyat masih ingat wektu di jajah tidak menginginkan indonesia pinter rukun jadi satu semua harus ingat jejak belanda,Youtube
sty ❤❤,Youtube
Harus sy katakan dg jujur edisi kali ini tdk berbobot,Youtube
"Suport terpaksa hati tdk bisa bohong,dalam pikiran sdh terbelah,ahirnya gagal,",Youtube
Daging bgt c inih..58 menit ga berasa samsek..banyak ilmunya buat yg awam bgt..,Youtube
angkat mereka berdua untuk ambil bagian di dalam PSSI 🔥🔥🔥,Youtube
Kita ga akan pernah tau artis kita ngapain aja selama 24 jam,Youtube
Dri podcast om dedi sya tau arah timnas kita kedepannya ny kmn udh ckup nntn timnas smpai sty di pecat 😢😢😢,Youtube
Sakit banget 😢,Youtube
mantap,Youtube
Ikutan om ded ber 4 ya.🙏🙏🙏,Youtube
STY tdk bisa diatur mafia 😂,Youtube
STY ❤,Youtube
"Faktanya sampe sekarang kompensasi belum dikasih tuh, malah minta diskon. Kocak emang 🤦🏻‍♀️🥱",Youtube
Diajak Bermimpi sama Sty eh malah Patrick Ngajak bangun dri mimpi 🤙🤣,Youtube
"pembuktinnya nanti saat pertandingan, kalau Indonesia sering menang, masalah STY akan lupa, tpi kalau sering kalah, soal STY akan ttp jadi topik pembicaraan",Youtube
"info terbaru kan STY naik jabatan, itu benar apa engga si",Youtube
"Terima kasih podcastnya, Om Ded & Abang² semua.. Sedep banget! ❤️✨️🔥",Youtube
Giliran undang pemain timnas nya om ded,Youtube
"Dan bkn pelatih peng gantinya siapa, tp soal kenyamanan pemain yg tanpa beban mental, gabut, keterpaksaan dan TDK Konsen daannn soal tepat ngga tepat bkn kita yg tau tp Federasi yg tau dan yg bisa menentukannya",Youtube
Om ded panggil Gus baha,Youtube
"15:00 ""if its not broken why fix it"", however sometimes something look not broken was already shattered inside",Youtube
Undang pak ET jg donk om ded,Youtube
"❤ ujung ujungnya, ya permainan dan konspirasi demi kekuasaan. begitu kejinya",Youtube
Ngundang tu bung binder klo pengen jelas dan detail sampe ke akar akarnya,Youtube
"harusnya si undang pak sumardji karna dia yang megang benang merahnya, dia tau apa yqng ada didalam federasi dan ditubuh timnasnya sendiri. ini kejadian sama persis dengan 2 pelatih sebelumnya yaitu alfred riel dan luis milla, mereka disingkirkan ketika timnas sedang naik.",Youtube
Om Ded coba dong undang Bung Towel di podcastnya,Youtube
Tinggal liat prkmbngn kdapan sja,Youtube
"Tetap stay STY ❤
 
 PSSI kocak 😂😂😂",Youtube
Beraninya sama anak SD,Youtube
yang adegan nge vape dipotong dong Pak Dedy,Youtube
"INI KALO FI TIKTOK WKKW , UDH DIKATAIN TERNAK TAE YOUNG 😂😂",Youtube
"Gak seru kalau undang tamu yg satu pemikiran dgn kita, alangkah baiknya undang tamu juga yg bersebrangan pemikirannya dgn kalian.",Youtube
"Pelatih baru dg asistennya ini tim bgt,klu sty itu one man",Youtube
"Maaf om Dedy,saat ini saya pribadi lebih percaya semua itu krn rencana Alloh yg diluar dugaan kita² juga para mafia² agar cepat selesai polemik ini *semuahasil krn Alloh kita² yg sabar* percaya* 🙏🏻👌👍🏼🤝💪🇲🇨🇲🇨🇲🇨",Youtube
Undang Patrick Kluivert dong,Youtube
💯,Youtube
Ya sdh klu gak pada paham jangan diobrolin,Youtube
"Kalau terjadi sesuai yang gua bayangkan, nanti ada Film nya....
 Berdasarkan kisah nyata, wow masih lama pasti",Youtube
Ini agar netizen lebih pintar,Youtube
Se7 om Ded g tau ada intrik yg lain,Youtube
"Jd males ntonnya karna ada oki rengga, karna bkn kapasitasnya utk hal ini. Tp tetep ok podnya om Ded...",Youtube
Berlima kita,Youtube
Inget kata gusdur timnas bakal lolos kualifikasi udah gtu aja,Youtube
"Cuma Satu☝👍 Kata.... "" OALAH...!!!.. ""...",Youtube
sty ❤❤,Youtube
next undang pak erick thohir om ded,Youtube
"pda dsarnya mreka yg punya duit, kita cmn jd pnikmat dn hnya bsa mnikmati,",Youtube
ORANG ORANG CERDAS KALAU NGOMONG BIKIN NYAMAN YAH,Youtube
Betul,Youtube
Nyimak aja lah kurg phm dgn bolA,Youtube
Pelatih hanya sementara pemain selamanya,Youtube
"Nah ini narasumber yg bagus. Bukan hanya cinta sepakbola, tp juga ngerti dgn sepakbola. Dalam ruang ganti kekuasaan pelatih adalah no 1. Taktik, sistem permainan, sp yg main sp yg gk itu adalah hak pelatih Bukan ketua, atau penggurus federasi. Menang kalah adalah tanggung jawab head coach. Tp ini beda, krn ada narasi, klo Kalah pelatih miskin taktik, tp klo menang krn ketua ancam mundur😅 maka nya menang😂. Gimana coba konsepnya begitu",Youtube
"kasi towel panggung, biar tau kapasitasnya",Youtube
"sebelumnya ada percakapan sty dgn tim sepak bola china,,untuk memenangkan china,berita ini bocor oleh asisten sty,yg membongkar smua ini kpd pssi..",Youtube
"we love STY, legenda pelatih indonesia, STY terlihat sedih,bukan karena g dpt JOB g dapat duit tapi 😭😭😭karena STY sdh cinta dengan Indonesia",Youtube
Om Dedy harusnya ngundang Ketum PSSI nya pak Erick Thohir dia bisa menjelaskan semua nya,Youtube
"Ada gak club yang berani ngontrak STY jadi pelatih, ak liat sih STY bisa mengubah ekosistem persepakbolaan kita,",Youtube
Alhamdulillah STY OUT Juga 🥳😍,Youtube
Sty : warnaku telah pudar pergilah dan temukan pelangi barumu,Youtube
oke,Youtube
pertanyaan membagongkan 🤣,Youtube
"pelatih dan pemain datang dan pergi yang abadi tim itu sendiri,sampe sini paham kan?",Youtube
"Coba deh, undang erik thoril,& Dito untuk membahas tentang latarbelakang pemecatan STY",Youtube
awas blunder saya setuju klo sampai saat ini indonesia berjalan pesat di tangan sty,Youtube
"undang jeje please, om ded",Youtube
Intinya STY tu dah bw timnas sampai ke ttk ini om ded👍❤🇮🇩🫰🥰💪,Youtube
"Respect and Salute to Coach STY, But for sake of timnas development i agree to change the head coach. However the one who had more coaching experience with indonesian bloodline heritage was not the one to hire here, so sad for GVB",Youtube
So pintar itu yg di pinggir bung jebret,Youtube
om ded harus di undang dong yg pecat STY... minta klarifikasi dan alasan d pecat...,Youtube
"ga usah d besar2kan pergantian pelatih d dunia sepak bola itu hal yg biasa kok,,",Youtube
"Harusnya undang si towel om , trus sama undang bung Pinder juga, trus permalukan aja si towel, di podcast nya om Dedy , pasti seru banget liat towel di permalukan",Youtube
Gimana nasib nova aryanto setelah ditinggal sty apakah akan bekerjasama dgan PK?,Youtube
"yang jujur emang biasanya kalah sama yang berduit hahaha. semangat coachhh, coach shin tetap di hati masyrakat indonesia 💗💗",Youtube
Om undang el professor coach alex pastoor dijamin rame,Youtube
"Sudahlah Broo,lu yt besar,jgn bikin ribut",Youtube
"5:29 ""itu ajanya.. """,Youtube
Pemain sama penonton. Pasti yg lebih pintar penonton...,Youtube
Tepat tidak tepat serahkan pada ahlinya jangan ngikut komentator yg ilmunya sebatas like & dislike,Youtube
salfok jebret ngvape asapnya kemana wkwkw,Youtube
ok gas,Youtube
STY sukses di Indonesia juga karna kinerja pak Erik Tohir,Youtube
nih bener kab,Youtube
Oki rengga ga paham....mreka levelnya bukan kaleng2...g sah takutlah...,Youtube
undang STY donk om 😅😅,Youtube
ya gitu,Youtube
"jika pemain dan pelatih sudah tdk ada chamistry memang harus ada yg dikorbankan, korbankan org yg sudah meninggalkan warga negaranya atau pelatihnya?",Youtube
coach justin undang om ded,Youtube
Om ded undang p.kholid warga banten yg d rugikan gara2 pagar misterius PIK 2 dong,Youtube
Harusnya yg di undang pak ET,Youtube
Sekarang udh terkonfirmasi oleh asisten sty yg dpt di percaya.,Youtube
Kita ber4!!!!!,Youtube
Saya sangat setuju dan spendapat dgn dedy combucer dkk👍👍👍👍👍,Youtube
"Om dedi undg donk mentri kesehatan masalah nasip pppk nakes yg bgt bnyk tenaga honorer nakes yg tdk bs ikti pppk
 Pd hal skrg lg genjar tau heboh ya tenaga honorer yg akan d agkt jd pppk sdgkn kami yg honorer yg sbgian gaji y tdk ada rela mengapdi bertahun2 tp tdk ada peluang untk nakes untk tes pppk krn pemda daerah tdk membuka lowongan. sdgkn para guru heboh yg d utamkan sdgkn kami nakes d anak tiri kan dan tdk d pedulikan 
 Jika kami yg mau ikti cpns masalah ijajajh hrs pnyk akreditas B sedangkan kami yg tmtan tau kuliah d daerah yg hny pnyk akreditas kmps c tdk ada peluang untk ikti cpns apa lagi masalah umur hny 35 batas maximum ya tp jika ikti jg bakal tdk ada formasi bagi nakes untk ikt krn formasi d daerah tdk ada tolong x lah om dedi kejelasan tntng kami yg tenanga kesehatan ini",Youtube
Pokok nya 1 kali aja kalah... Ketua pssi dan pelatih harus mundur.... Ini resiko... Yg mesti mereka ambil.... Kalau masih ada perasaan malu....,Youtube
"Sejak adanya berita pemecatan STY , berita 271 T, 6,5 tahun hilang.....",Youtube
om ded undang bg dafi dari bucin tv dong,Youtube
"Saya tetap dukung timnas, tp saya malu jd orang di negeri Indonesia karna penjabat nya banyak yg korup,,,",Youtube
"Tetap saja dia tidak mulai dari nol,belum tau kemampuannya",Youtube
100% tepat,Youtube
"Kalo ngundang tamu juga harus ada yg punya pengalaman jadi pelatim om , itu mah orang"" yg modal omong aja",Youtube
undang pak Erik Tohir om ded,Youtube
"Para pejabat yg jauh dr ideal sbg pemimpin ingin figur yg tdk marah2 dlm situasi apapun, marah2 itu arogan. Memang sih, bnyk pejabat yg pake topeng, ramah di depan garong di belakang. ""Mengalahkan"" pejabat2 jenis2 bgitu mmg hrs dgn ""manusia tanpa dosa"".",Youtube
Emang politik supaya indonesia ga dimenangin,Youtube
"Menurut si AcenX:
 Kagok edan😁
 Makanya that's why mas😁
 Makanya harus lebih di edanin lagi prestasi nya👍😁
 Apapun n siapapun pelatihnya minum nya teh londo mas😳😁🙏
 Bercanda ya😁
 Kamsahamnida sty🙏👍
 Salam orang waras😁🙏",Youtube
Bang dedy knpa gak mau bhas tentng dana PIP yg lgi rame di akun bro ron,Youtube
Bang salah nara sumber 😂😂😂..qlo MW bahas sty panggil Erik Tohir dong,Youtube
Saya juga gak setuju...!! Makanya itu towel.jangan kasih panggung terus !,Youtube
"Terus terang demi Tuhan, saya jg pecinta bola dan support penuh STY , tp ingat kita ini sebangsa setanah air, termasuk Diaspora, sedang STY kan org luar, masak kita hrs salahkan Federasi, sementara kita hampir kandas jika kalah lawan Arab, kalo tdk dgn beraninya Idjes buat Meeting tanpa tim pelatih semua, pastinya saya yakin Ketum pasti tahu akan hal itu, dan terbukti Kita Menang, pakailah hati Nurani sesama anak bangsa, Erick Tohir itu bukan yg gila jabatan, Prestise dan nama besar, Krn beliau sdh besar kian, : 
 Eks Owner Klub besar, org kaya, org pintar dan berjiwa Nasionalis demi NKRI, masak segitunya kita ributin, kita tuding dan kita anggap biang kerok atas pemecatan STY yg kemari2 nya mulai besar kepala dan merasa PSSI/Timnas tergantung ketentuan dr STY, saya bkn siapa2 tp bisa lihat sedikit wkt laga lawan China cukup banyak keanehan dan kejanggalan bkn setelah berita pengaku an anak2 Diaspora soal STY yg Viral lho,,,!!!???",Youtube
Gk setuju tapi insya Alloh tahun 2026 masuk pildun aminnn dgn pelatih baru ini,Youtube
Undang STY langsung om ded....,Youtube
anda tau apa tentang STY,Youtube
Undang coach Justin om Ded,Youtube
"kl pengganti sty itu Pk.
 sbenere jika mengganti Sty itu skelahls Roberto Di matteo.",Youtube
"Sty, beliau bangun sepak bola kita dari bawah bukan cuman nglatih digaji lalu minggat",Youtube
Aq kira keluarnya STY pengalihan isu 300T beritanya agar hilang atau tertutupi😢,Youtube
"lucunya negri ini...prajurit mempertanyakan strategi dan taktik perang ke komandan batalyon...lha...trs bikin cerita sendiri, kalau di militer itu namanya 'mutiny' hehe...saya pikir hanya politik yg dipolitisir ternyata supporters d adu domba dng Ketum federasi oleh mafia bola....kita lupa menjadi bangsa yg berakhlak dan beradab tanpa menusuk dr blkg",Youtube
"Kasus 271T di timbun berita pemecatan STY, Berita Pemecatan STY di timbun berita rilisnya Jersey Home Timnas terbaru keluaran Erspo (yang sempet dirilis Agustus 2024 tapi gajadi)",Youtube
"Tanggung jawab,nanti ujung2 nya mundur",Youtube
Gara gara bang towel...suughh,Youtube
😮😮,Youtube
"Msh penasaran sm yg terjadi ketika timnas sepakbola Indonesia lawan China,ada apa?",Youtube
"Desas desus apa, paling ya buat ngilangin 271t",Youtube
""" kita cuma unek-unek doank "" 😂",Youtube
Sty pelatih terbaik.,Youtube
"oke iya denger kata coach,tapi terlepas dari coach masih ada ketum pssi pak, toh sepak bola di spanyol sana diatas coach masih ada presiden nya di club masing masing kok,kalo emang soal perform di AFF gausah dibahas deh,lawan china kurang masuk akal aja harapan satu satunya bro.",Youtube
Ini asik kalau ada justin,Youtube
Yg jelas disini aku udh ga lihat lagi jiwa yg besar di tubuh PSSI...ingat kata pak Prabowo bangsa yg besar adalah bangsa yg menghargai para Pahlawan nah disini katakanlah STY bukan Pahlawan tp setidaknya krn STY lah Timnas bisa smp di titik sekarang ini nah trs tb2 di cut....mau alesannya kek apapun n dr segi orang2 yg udh berpengalaman di bidang nya ttp saja ini kek ga mencerminkan kita sebagai bangsa besar...dng wkt yg singkat trs di ganti pelatih n hrs bangun kemistri itu ga mudah....asal tau semangat membara....skil n kecerdasan dlm bermain akn timbul n mengalir begitu sj ketika antara pelatih n pemain itu sudah spti sodara n ga ada jarak....satu sama lain udh terikat emosional yg dng sendiri nya akn membawa ke permainan yg baik....percuma skil bagus n cerdas dlm strategi tp antara pelatih n pemain ada jarak n ga nyaman bisa di bayangkan apalagi bln mart nnti ga lama lagi Timnas hrs perfom lagi melawan Austrli Cina n Bahrin n ini waktu sangat ga adil klu STY di cur🙏🙏 aku yakin saat inipun STY pasti kecewa n sedih jg mungkin sakit banget....tau kan gimana klu kita udh membuat seseorang kecewa sakit n sedih 🙏,Youtube
Kita berampat mas Dedy aku juga gak setujuh terlalu dini ganti pelatih,Youtube
SHIN TAE YONG HEAD COACH TERBAIK TIMNAS INDONESIA😎,Youtube
"Saya patah hati, om ded😭😭😭😭😭",Youtube
Q baru tau OKI kiper 😁,Youtube
"Ga nyangka sekelas deddy corbuzier, yg gelarnya PhD jd buzzer prabowo. Lucu bg ded ayolahhh",Youtube
"hidup pk erik tohir,,ni 2 org sm aj terlalu baper, pemikiran pk erik tohir terlalu jenius susah di kejar",Youtube
Tiba2 muncul diberanda,Youtube
"Ukuran prestasi menurut fans Timnas dg prestasi menurut federasi itu beda. Federasi pasti punya target tersendiri, mimpi yg besar yg harus diwujudkan dalam jangka waktu tertentu dan anggaran. Federasi harus selalu punya target tinggi karena mereka dikasih kesempatan ada di situ untuk jangka waktu tertentu. Fans dan netizen, sampai pindah alam tidak terbatas waktu, jadi bebas suka atau tidak suka, hehehe",Youtube
"bisa gk sih bkin obrolan yg meredam suasana biar gk gaduh, yg comentar level ecek2 lg bkn bidangnya",Youtube
Btw kok podhub gada yah pdahal udah hari Sabtu sekarang trakhir kali pas yg bastian dan sita,Youtube
"Pertanyaan nya. Indonesia sekarang ini. Yg bagus itu pemainnya atau pelatih nya mas ded, ??",Youtube
nganu.. hahaha,Youtube
Percumaaahhhhhh om deddddd sudah hujannnnn,Youtube
Ada yg tidak suka Indonesia maju.tapi kita semua gak sadar.siapa itu? Saya juga gak tahu.,Youtube
"saya dukung pelatih Giordiola, tanggung Kluivert mending Bung Towel",Youtube
"Setuju sama Om Ded.. ""STY telah membawa IDN ke Mimpi yang TIDAK PERNAH DIMIMPIKAN sebelumnya"" ❤❤❤",Youtube
Kan klian udah tau jlan nya mau gmna om ded.mosok mreka ja lbih pndai lbih tau ktimbang kita mosok g tau teoat ato gak nya om.hahhaa,Youtube
harusnya ngundang orangnya salah satunya orang yang setuju sty diganti. kalo seperti ini kita sebagai pendengar seperti digiring untuk menolak pergantian pelatih karna alur pembicaraannya satu arah doang. kalo dikasih pembicaraan yang pro dan kontra mungkin akan jadi diskusi yang bagus,Youtube
Bagus.y si jebret ini yg jadi coach... Nanti sty jadi asisten,Youtube
🧐 apa apan lagi nih narasi om om 🤔🤔,Youtube
diganti ataupun tidak peluangnya fifty2...,Youtube
"pelatih ngaruh banget kali, yg bilang kgk begitu bawa pengaruh keliatan O nya masih jaman bahola",Youtube
